Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,rookie_of_the_year,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,WPA/G
2024,Jackson Chourio,MIL,136,527,21,76,77,38,106,20,7,0.273291925,0.358490566,0.3427816920581905,1.826995849609375,16.440340180494694,120.63278984396004,87.529931130519,89.41933983276071,104.3704501544048,117.71316048009356,128.53912850578732,2.1812078952789307,1.3462388515472412,0.8493193582662055,3.708328661949568,694192,2020s,27,0.7407407407407407,0.02726712251433506,NL,NL,,0.5909090909090909,0.8636363636363636,0.5454545454545454,0.5909090909090909,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9545454545454546,0.9090909090909091,0.8636363636363636,0.36363636363636365,0.9545454545454546,0.7272727272727273,0.9545454545454546,0.9545454545454546,0.8636363636363636,0.7926136363636365,1,batter,0.7334857723577236,32,0.016038293347639197
2024,Jackson Merrill,SDP,146,555,24,74,86,26,98,16,3,0.290384615,0.265306122,0.3507736646544911,3.5589641332626343,23.82384015335836,130.01205057870789,56.867477902675176,78.49993593643444,102.3288568685392,125.09346327449336,136.62506529911045,2.2933661937713623,2.3308186531066895,0.1461994513364448,4.744176422689189,701538,2020s,19,0.8421052631578947,0.03249435905951499,NL,NL,,0.8636363636363636,0.9545454545454546,0.13636363636363635,0.22727272727272727,0.5909090909090909,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9545454545454546,0.5454545454545454,1.0,0.9090909090909091,1.0,1.0,0.5454545454545454,0.7897727272727272,2,batter,0.7230691056910568,34,0.015707987628570976
2024,Spencer Horwitz,TOR,86,332,12,44,36,37,57,0,0,0.27368421,0.649122807,0.3571700618122563,-2.155671715736389,10.14708571816602,135.65376552184244,137.6958922882753,76.38868622597622,117.7761469324901,116.55388436188424,120.83157198409818,1.9687514305114744,1.095073938369751,1.0066561527543882,1.9557470431311612,687462,2020s,0,0.0,0.022741244687571643,AL,AL,,0.9545454545454546,1.0,0.8636363636363636,0.9545454545454546,1.0,0.8636363636363636,0.7727272727272727,0.5,0.6818181818181818,1.0,0.22727272727272727,0.7727272727272727,0.13636363636363635,0.9090909090909091,0.8636363636363636,0.9545454545454546,0.7784090909090908,3,batter,0.7475863821138212,29,0.022892458494319468
2024,Austin Wells,NYY,105,374,13,39,50,42,79,1,2,0.246875,0.531645569,0.3304538092408678,18.375011801719666,4.612922820942419,115.54833289074855,138.7506518453995,93.98266577039035,108.2957059305952,106.95143383176536,113.5942644133498,0.4394674599170685,0.0420698001980781,0.4456018256378065,3.643493611913967,669224,2020s,3,0.3333333333333333,0.0346999391610854,AL,AL,,0.45454545454545453,0.7272727272727273,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.9090909090909091,1.0,0.7727272727272727,1.0,0.7272727272727273,0.22727272727272727,0.8181818181818182,0.6818181818181818,0.7272727272727273,0.7613636363636362,4,batter,0.6938516260162603,44,0.004185404380162557
2024,Michael Busch,CHC,141,531,20,71,63,58,154,2,1,0.254817987,0.376623376,0.3403092693607762,-5.802755832672119,12.081661309842476,121.394988685192,132.59192604874096,128.93250196650965,106.97337727018872,111.64494978910406,124.71975771280516,1.5682275295257568,1.198495626449585,0.4487512125359554,2.487541781091781,683737,2020s,3,0.6666666666666666,0.01764214029143107,NL,NL,,0.09090909090909091,0.9090909090909091,0.8181818181818182,0.6818181818181818,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.5909090909090909,0.5454545454545454,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.8181818181818182,0.8636363636363636,0.9090909090909091,0.7727272727272727,0.7073863636363636,5,batter,0.6620934959349593,57,0.011122181060466361
2024,Joey Ortiz,MIL,130,469,10,54,51,55,92,9,6,0.241895261,0.597826086,0.3251279655054243,11.054759979248049,3.963994355813584,108.69768725537013,142.35523871167987,87.20696931035691,107.3636837076302,99.68232808966783,102.1518769978749,-0.993638515472412,-0.0402017310261726,-0.9534367844462396,3.172689432969289,687401,2020s,15,0.6,0.024405303330532993,NL,NL,,0.6818181818181818,0.6818181818181818,1.0,0.9090909090909091,0.8636363636363636,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.6818181818181818,0.9090909090909091,0.6818181818181818,0.5454545454545454,0.2727272727272727,0.5909090909090909,0.09090909090909091,0.6647727272727274,6,batter,0.6149644308943089,76,-0.007643373195941631
2024,Wilyer Abreu,BOS,120,405,15,55,57,35,117,8,3,0.261707988,0.299145299,0.3449640724394056,5.088099002838135,10.326238015844782,119.67821202130088,106.77519310593703,128.53550512048955,105.32439247246616,121.3190788213127,140.54483446380112,0.02083420753479,0.477265328168869,-0.4543486817172449,2.969277740608786,677800,2020s,11,0.7272727272727273,0.02474398117173988,AL,AL,,0.13636363636363635,0.8181818181818182,0.5909090909090909,0.36363636363636365,0.7727272727272727,0.9545454545454546,1.0,0.7272727272727273,0.8636363636363636,0.9090909090909091,0.5909090909090909,0.8636363636363636,0.36363636363636365,0.6363636363636364,0.8181818181818182,0.18181818181818182,0.6619318181818182,7,batter,0.6194105691056909,73,0.00017361839612325
2024,Masyn Winn,STL,139,586,13,73,50,38,103,11,5,0.270871985,0.368932038,0.3142934955682132,7.479886054992676,3.468368504475073,102.9890321316854,78.7171910985786,78.14043411216933,100.69789021317536,101.33759302569251,87.87264568007777,-0.677257776260376,-0.4896137714385986,-0.1761425253708803,3.1591012524954603,691026,2020s,16,0.6875,0.022727347140255108,NL,NL,,0.9090909090909091,0.5909090909090909,0.36363636363636365,0.6363636363636364,0.4090909090909091,0.6818181818181818,0.36363636363636365,0.7727272727272727,0.6363636363636364,0.5909090909090909,0.6818181818181818,0.5909090909090909,1.0,0.4090909090909091,0.45454545454545453,0.36363636363636365,0.5909090909090908,8,batter,0.5405233739837398,111,-0.0048723581025926326
2024,Colton Cowser,BAL,142,518,20,70,62,49,158,8,4,0.241830065,0.310126582,0.3272636507370675,6.495110750198364,10.203590152341054,115.57327617723668,116.87554859278195,135.71242117030013,104.18297789298718,109.10334650724612,122.26482007370672,-2.321861743927002,-0.0434288531541824,-2.463707379879416,3.487089733009618,681297,2020s,12,0.6666666666666666,0.02455696995077196,AL,AL,,0.045454545454545456,0.7727272727272727,0.6818181818181818,0.4090909090909091,0.6818181818181818,0.7727272727272727,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6818181818181818,0.045454545454545456,0.5454545454545454,0.045454545454545456,0.5852272727272726,9,batter,0.5491615853658538,108,-0.01635113904173945
2024,Wyatt Langford,TEX,122,503,11,61,64,44,105,15,3,0.249448123,0.419047619,0.3084254621267319,-2.553973913192749,3.7084462414767927,100.08783334846524,108.0791786855213,92.878155821059,102.7926478302094,98.3269899931777,90.09761557947172,0.2790921628475189,-0.5443505644798279,0.8201035572286339,1.8350562271884472,694671,2020s,18,0.8333333333333334,0.015041444485151207,AL,AL,,0.5,0.5454545454545454,0.6363636363636364,0.7727272727272727,0.6363636363636364,0.45454545454545453,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.6363636363636364,0.7727272727272727,0.4090909090909091,0.8181818181818182,0.5482954545454546,10,batter,0.5266768292682927,113,0.002287640679078024
2024,Nolan Schanuel,LAA,139,576,13,59,51,65,97,9,1,0.251521298,0.670103092,0.3170001787113977,-11.006002187728882,-0.9180238730215192,104.04026518866974,139.4274283625706,74.92754794150531,111.29617857851852,91.88048225295074,72.43903084914494,-1.0559548139572144,-0.446770429611206,-0.6786690646138909,0.7372040159078406,694384,2020s,10,0.9,0.005303626013725472,AL,AL,,1.0,0.6363636363636364,0.9545454545454546,1.0,0.9545454545454546,0.2727272727272727,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.6363636363636364,0.045454545454545456,0.4090909090909091,0.9545454545454546,0.22727272727272727,0.5,0.13636363636363635,0.5056818181818182,11,batter,0.4621443089430894,131,-0.0075967972227137725
2024,Colt Keith,DET,138,528,13,53,58,34,104,7,1,0.262729124,0.326923076,0.3049871097027237,2.4268341958522797,-0.615390946838537,98.7261018508151,79.56138536495158,87.63784423854084,100.98574591034964,96.8674778805186,77.92939096056962,-0.4199966788291931,-0.0128261381760239,-0.4236083827873264,1.9880120315636496,690993,2020s,8,0.875,0.014405884286693113,AL,AL,,0.6363636363636364,0.5,0.4090909090909091,0.5,0.5227272727272727,0.4090909090909091,0.3181818181818182,0.5454545454545454,0.36363636363636365,0.5,0.5,0.45454545454545453,0.7727272727272727,0.5,0.6363636363636364,0.22727272727272727,0.4872159090909091,12,batter,0.44626524390243905,135,-0.003043454194414443
2024,Pete Crow-Armstrong,CHC,111,365,10,42,46,19,86,27,2,0.241691842,0.220930232,0.300484557111724,11.046969652175903,3.0564072747856037,94.4708135070604,63.189416156710074,104.74704917016216,92.8136917992288,101.261053912072,106.35194676642574,-0.0961088985204696,0.2848656773567199,-0.3847642292971104,2.7178653426463835,691718,2020s,29,0.9310344827586207,0.024485273357174625,NL,NL,,0.4090909090909091,0.45454545454545453,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.6363636363636364,0.6818181818181818,0.6818181818181818,0.7727272727272727,0.36363636363636365,0.8636363636363636,0.5454545454545454,0.18181818181818182,0.5909090909090909,0.7727272727272727,0.2727272727272727,0.4801136363636362,13,batter,0.43953252032520324,139,-0.0008658459326168432
2024,Jacob Young,WSN,139,487,3,73,35,27,95,32,9,0.257990867,0.284210526,0.2914614706049384,13.223162174224854,-3.2977125266010106,86.5794051515049,67.30051848221868,86.72231327557623,100.69902658777868,83.32587697909699,49.68388594087491,-0.5499095916748047,-1.4467570781707764,0.8727246818188191,2.7105477399221227,696285,2020s,41,0.7804878048780488,0.019500343452677142,NL,NL,,0.7272727272727273,0.2727272727272727,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.5909090909090909,0.2727272727272727,0.9545454545454546,0.3181818181818182,0.5909090909090909,0.45454545454545453,0.09090909090909091,0.9090909090909091,0.4431818181818181,14,batter,0.4086636178861788,156,-0.0039561841127683794
2024,David Hamilton,BOS,98,317,8,47,28,22,80,33,4,0.248299319,0.275,0.3046489931431478,1.999277889728546,3.055423930477227,91.5531283801543,85.7473599805786,112.2853236492506,97.86378886429088,99.29064682209383,93.2722929183269,0.0393531136214733,0.1313079595565796,-0.0872805034664584,1.602125686682176,666152,2020s,37,0.8918918918918919,0.016348221292675266,AL,AL,,0.3181818181818182,0.3181818181818182,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.5,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.4090909090909091,0.5,0.09090909090909091,0.6818181818181818,0.7272727272727273,0.4090909090909091,0.4289772727272727,15,batter,0.4095528455284553,155,0.00040156238389258466
2024,Otto Lopez,MIA,106,390,5,40,34,22,69,17,3,0.256906077,0.318840579,0.288953187853791,10.723527550697328,-5.802013771187557,82.13927421486022,68.47651998950474,78.65397804336698,95.11833121234456,89.16028561865224,65.4190002596322,-0.2791206836700439,-0.590103268623352,0.3229016892195085,1.858922598589798,672640,2020s,20,0.85,0.017537005647073566,NL,NL,,0.8181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.45454545454545453,0.5,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.3181818181818182,0.5454545454545454,0.36363636363636365,0.6818181818181818,0.3977272727272727,16,batter,0.37754065040650403,169,-0.0026332139968872066
2024,Wenceel P̩rez,DET,102,389,9,50,34,27,80,9,5,0.240223463,0.3375,0.2954883618564261,-2.8380524814128876,-2.2139351643818967,92.0994727500736,85.75738022231765,91.502435757342,95.19276500442896,96.30198110772348,90.84869160880108,0.070469744503498,-0.9411206841468812,1.0142651753827097,0.8069197493548772,672761,2020s,14,0.6428571428571429,0.007910977934851737,AL,AL,,0.5454545454545454,0.36363636363636365,0.5,0.5454545454545454,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.09090909090909091,0.13636363636363635,0.3181818181818182,0.13636363636363635,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.2727272727272727,1.0,0.39204545454545453,17,batter,0.38109756097560976,167,0.0006908798480735098
2024,Brayan Rocchio,CLE,134,412,8,50,34,41,79,10,6,0.210084033,0.518987341,0.2804581418014097,9.465783596038818,-10.913459461593373,81.6075077341201,122.9543745765848,85.31436149474688,97.73449737932204,81.06386468948024,71.45346628512368,-0.9710747599601746,-1.3995198011398315,0.3115265374841294,1.256590081885786,677587,2020s,16,0.625,0.009377537924520792,AL,AL,,0.7727272727272727,0.13636363636363635,0.7272727272727273,0.8181818181818182,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.3181818181818182,0.22727272727272727,0.09090909090909091,0.7272727272727273,0.045454545454545456,0.4090909090909091,0.3181818181818182,0.13636363636363635,0.5909090909090909,0.37500000000000006,18,batter,0.3713160569105691,171,-0.007246826566866974
2024,Andy Pages,LAD,108,414,10,55,39,26,102,1,2,0.246031746,0.25490196,0.3013269503911336,-1.1896822899580002,-3.366999258479767,94.24046810387912,76.23538797585881,109.53074477853175,95.81353638068958,96.55220654009152,91.43504978491391,-0.8437139391899109,-0.8521748185157776,-0.0775370544149324,0.965994602589612,681624,2020s,3,0.3333333333333333,0.008944394468422334,NL,NL,,0.36363636363636365,0.4090909090909091,0.3181818181818182,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5,0.18181818181818182,0.18181818181818182,0.4090909090909091,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.3181818181818182,0.45454545454545453,0.33238636363636354,19,batter,0.3232977642276423,197,-0.007812166103610286
2024,Max Schuemann,OAK,125,437,7,53,34,46,114,14,1,0.222811671,0.403508771,0.2831831562022368,2.0093040466308594,-4.609110202009543,86.32940324690342,130.05700115360855,116.0688510381105,100.98574591034964,78.76591775809084,57.513406460860054,-1.6966426372528076,-1.3786214590072632,-0.3787672602064968,1.223231713176774,680474,2020s,15,0.9333333333333333,0.009785853705414193,AL,AL,,0.2727272727272727,0.22727272727272727,0.7727272727272727,0.7272727272727273,0.5227272727272727,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.45454545454545453,0.22727272727272727,0.5,0.09090909090909091,0.18181818181818182,0.3181818181818182,0.3252840909090909,20,batter,0.3198678861788618,199,-0.01357314109802246
2024,Ceddanne Rafaela,BOS,143,539,15,68,70,15,143,19,8,0.24951267,0.104895104,0.2903073061980418,1.2391092777252195,-9.994492905488915,81.54791068178088,34.384271725245085,118.04281098838324,89.66481109007537,100.07151685602986,94.47736082110924,-1.235571026802063,-1.326382756233215,0.0591354101577836,0.9372950212091042,678882,2020s,27,0.7037037037037037,0.006554510637825904,AL,AL,,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.5909090909090909,0.5909090909090909,0.13636363636363635,0.09090909090909091,0.22727272727272727,0.3181818181818182,0.09090909090909091,0.8636363636363636,0.18181818181818182,0.22727272727272727,0.5,0.2698863636363636,21,batter,0.2652439024390244,222,-0.008640356830783657
2024,Michael Siani,STL,113,302,2,38,20,14,82,18,3,0.238095238,0.170731707,0.2579990641767626,10.534508109092712,-9.604076898221956,64.93022274574194,56.27359943577041,120.70996369448844,89.42069905048217,73.66463481085094,37.51181513226074,-1.251283049583435,-1.577833890914917,0.3194785810184024,1.1428099431817471,672279,2020s,21,0.8571428571428571,0.01011336232904201,NL,NL,,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.3181818181818182,0.045454545454545456,0.7727272727272727,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.6363636363636364,0.1818181818181818,22,batter,0.19118394308943087,241,-0.011073301323747214
