,Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,QS_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP,ERA-_int_FIP-,ERA-_int_BB%+,ERA-_int_HR/9+,IP_int_K/BB+,IP_int_K%+,IP_int_ERA-,IP_int_FIP-,K%+_int_BB%+,K%+_int_HR/9+,HR/9+_int_BB%+,K%+_int_ERA-,WHIP+_int_ERA-,WHIP+_int_FIP-,WHIP+_int_HR/9+,K-BB%_int_ERA-,K-BB%_int_FIP-,ERA-_int_FIP-_int_WAR,ERA-_int_FIP-_int_WPA
0,2024,Paul Skenes,PIT,10,3,21,21,0,0,15,126.0,158,2.0714285714285716,49.06301875421109,2.5758145513988677,63.68340049180626,-0.5043859799702961,180.2009174600111,63.87606371103966,83.02089428669004,76.41340799494219,144.38894802849518,80.12664252235271,0.25714286,3.399278163909912,3.01852035522461,0.5041604943015803,3.854541301727295,694973,2020s,0.0305915976327563,starter,NL,,0.08907345186308996,1,1,1,1,2,7,1,1,7,1,1,1,3,1,3,2,2.125,1,4,15.4375,skenepa01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,1,0.0269783981262691,3124.4998726614267,3931.2549647861592,3133.9525117999215,22705.3155999614,18193.00745159039,6181.940363030598,8024.1084619675885,11569.401622857797,9222.997643438153,5118.174522709502,7084.15766502287,3749.072469529033,4866.265664285694,4880.987717462594,12.616204962691477,16.375731736988467,12043.513806415143,10621.044190277289
1,2024,Shota Imanaga,CHC,14,3,28,28,0,0,18,166.1,170,3.030060212895891,75.33520827458926,3.796303166758338,95.42474600044328,-0.7662429538624465,221.58521494422772,130.64511546487643,91.76865932355292,79.82432634643271,113.95815344582589,51.42858933066394,0.21257485,1.786724328994751,2.1446738243103027,-0.263091702148124,2.769526481628418,684007,2020s,0.0166738499797014,starter,NL,,0.08027014215783328,3,5,14,2,3,1,2,5,1,6,3,2,1,3,12,1,4.0,2,17,29.0625,imanash01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,1,0.0107569195002694,7188.843114493173,3874.383488493887,9842.176983604228,36805.30420223622,18928.44928735168,12513.178094409277,15850.050310673629,5860.707074446165,14888.076115094029,6718.893991300302,8585.061224428895,6013.582250687291,7617.216066264834,10428.65833243568,16.01437059868957,20.28490106733233,19909.691377860956,12844.48088999135
2,2024,Spencer Schwellenbach,ATL,6,7,18,18,0,0,9,103.2,113,3.733119062641281,89.41858968823533,3.3446860914109764,84.0588969764425,0.388432971230304,206.20459415677223,100.92829092484452,96.30586576538724,85.38550612220138,119.339862045402,57.87449121299747,0.21933962,0.5941300392150879,0.5164979100227356,0.1461883237372816,2.12827467918396,680885,2020s,0.0206228166587593,starter,NL,,0.005656981372288376,6,2,5,3,5,3,5,2,14,3,8,9,2,2,9,8,5.375,4,33,39.5,schwesp01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.005757074023402,7516.428018382157,5175.055383190402,9024.865434143518,21280.314116978894,12315.873763085487,9227.998455825886,8674.878167968865,6906.733797306948,12044.768315449144,5841.173486272766,10671.20215768841,7635.051537263431,7177.4114624075255,8617.813202666634,19.613039483153457,18.437446520432047,15997.023429431612,4465.735673318776
3,2024,Luis Gil,NYY,13,6,26,26,0,0,10,135.2,156,3.184275423037774,78.56834213919896,3.819701343922436,90.10540560603752,-0.6354259208846615,80.53488208273525,74.18957507042411,76.60085606717018,93.56349675025176,121.52311927515046,150.89501897945908,0.15167549,1.9031682014465332,1.6915868520736694,0.181521127752291,2.4787893295288086,661563,2020s,0.0183342406030237,starter,AL,,0.3447454848043792,4,3,2,6,1,14,3,3,5,2,2,3,13,7,6,5,4.9375,3,37,42.3125,gillu01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,1,0.0140766878805216,7079.432336246452,11855.571478279062,5828.951917294868,10888.316057585806,16429.92572600034,10622.439857219699,12182.250837936272,18337.2333894669,9015.748580255879,11194.837338329651,9547.870013032705,7351.12882441361,8430.576824600608,6941.436066004186,11.91689179245065,13.666781546944488,17548.42133420891,13473.350506636589
4,2024,Jared Jones,PIT,6,7,20,20,0,0,11,112.1,120,3.8456975035035224,91.08763456289051,3.927729238761499,96.25773100643924,-0.0820317352579764,128.81078237305442,114.635742082016,92.24424727945126,89.16604693595154,116.81439395409328,90.68681147841367,0.18695652,1.0296701192855835,0.6754571795463562,0.4024486865334804,1.7535102367401123,683003,2020s,0.0156423749932213,starter,NL,,0.007319517952159322,7,6,9,4,4,9,8,6,11,5,7,8,5,4,5,3,6.3125,5,43,48.0625,jonesja09,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0091852820632077,8767.889025767554,8260.447143619489,10441.898582612443,14439.6887040194,13094.893562253856,10210.923834500027,10790.49164582184,10593.524922480003,13391.104736788446,10395.949930879837,10640.346828175976,8121.9242987194975,8582.92136086836,10221.615959022674,17.02942717290973,17.996010412059977,15374.583161284696,9028.033339044836
5,2024,Gavin Stone,LAD,11,5,25,25,1,1,10,140.1,116,3.527316042333899,86.97153215497025,4.019033674996022,97.15554425105142,-0.4917176326621231,114.42110940518802,103.2334330741296,100.49678252589383,94.0603359077004,89.55770210610292,78.27026016753264,0.1362069,1.3554184436798096,0.9426977038383484,0.4726383647147569,2.043893337249756,694813,2020s,0.0145888175392559,starter,NL,,0.009616267606856027,5,7,6,7,8,4,6,8,3,10,4,6,8,11,4,5,6.375,6,50,51.6875,stonega01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0096746498478216,8449.766540863953,6807.284448938452,8978.36984407463,16030.397427666841,12547.03406506502,12184.71165491133,13611.491749572304,7009.7046438510615,9245.34904664321,8080.107664699693,7788.970568446177,8180.571528903868,9138.483127549349,9710.171391857739,11.846122783078817,13.233255500248536,17270.42153418775,11452.969414275547
6,2024,Tobias Myers,MIL,7,5,23,23,0,0,7,125.0,113,3.096,75.0660563954661,4.147052646636963,101.00860495759252,-1.051052646636963,124.97248129828706,115.89672999731036,98.1090394222711,91.31155760531094,98.63567559239102,78.92591440289483,0.15594542,1.071122407913208,1.0028358697891235,0.168757799148348,1.6714985370635986,668964,2020s,0.0133719882965087,starter,NL,,0.04992011520754377,2,9,10,5,7,5,9,9,8,8,6,5,6,6,7,11,7.0625,8,55,53.75,myersto01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0085689792633056,7582.317636173998,5924.657141631434,8699.910470028208,15621.560162285883,12329.459449048878,9383.257049433263,12626.075619699066,7784.910888876757,11431.552262233638,9147.255391343131,7404.191186623324,6854.398532758123,9223.253050217305,10582.710937416574,11.706207692334647,15.751829323725849,12673.83283641636,8121.590324021476
7,2024,Mitchell Parker,WSN,7,9,27,27,0,0,11,142.1,127,4.236534109237424,103.39645286517292,3.803371170403743,92.94543870317736,0.4331629388336813,118.84721331795234,96.12824357731776,102.92171688802078,98.7393808079953,93.99857972995524,79.09194872618069,0.14545455,-0.2567955255508423,0.7661287784576416,-1.0505809679592422,2.3707242012023926,680730,2020s,0.0166834919155692,starter,NL,,0.004832886837843027,9,4,4,9,9,6,4,4,2,9,10,7,7,8,14,3,6.8125,7,63,59.3125,parkemi01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0018071465556005,9610.228671905896,8177.8269484812145,9939.319406053997,16888.189012481027,13357.19817962664,14692.63595214107,13207.546839721503,7434.530848335427,9035.918368203062,7602.970112155024,9719.119718441516,10209.301733650245,9177.375066479215,9491.643248984506,15.039484523099937,13.519336961123246,22783.201691576436,-2467.8637224658473
8,2024,Simeon Woods Richardson,MIN,5,5,26,26,0,0,7,128.0,109,4.078125243075206,101.24764811334246,4.038240198325369,98.39082748940156,0.0398850447498375,85.6300376738232,84.68192953743441,97.91811757505036,99.79125417134811,89.15590351943588,104.1175629736018,0.11666667,1.2598183155059814,1.2425471544265747,-0.0121526154152054,1.8809688091278076,680573,2020s,0.0146950688213109,starter,AL,,0.008923195904470407,8,8,3,10,6,12,7,7,6,11,5,4,12,13,10,11,8.3125,9,72,62.875,woodssi01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0098423305898904,9961.839879227511,10541.65837837001,8573.846203365021,10960.64482224937,11411.955650487793,12959.698958507835,12594.0259186434,9282.695399153232,7549.89393967917,8816.87613133994,9026.825546762955,10103.629787129772,9818.544074124136,8450.515954190309,11.812225950715447,11.47893020173294,18737.910094352475,12550.108335988712
9,2024,Joey Estes,OAK,7,8,22,22,1,1,8,116.0,89,4.8879313559651445,125.23632392594382,4.541742391960522,114.40928274519948,0.3461889640046225,146.19239960597773,126.8143189069618,107.04872172836902,94.97374593489096,80.71949099078773,55.2145622610411,0.137577,-0.3281333744525909,-0.5128214359283447,0.1550275266010759,1.195846438407898,683155,2020s,0.0103090210207577,starter,AL,,0.005674345169413902,14,13,13,8,12,2,11,11,10,13,12,11,4,10,8,10,10.125,11,87,72.4375,estesjo01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0028287359866602,14328.197994012697,6914.868804752937,15881.759121080211,16958.318354293417,9363.460954931377,14527.413575409484,13271.47679844314,4456.891360990396,10236.387272513386,7001.997106879964,10109.012320859596,11894.162810362293,10865.878152035679,12044.03090477603,17.229637736759575,15.740085892236308,17134.32453994327,-4701.55995760023
10,2024,Spencer Arrighetti,HOU,7,13,27,27,0,0,9,136.2,161,4.675610104117797,117.26357563356518,4.210077114218696,103.35856507547734,0.4655329898991009,93.8407900241396,113.30265304726504,106.42654752259664,114.4922113616524,118.71795928658769,126.50998089266628,0.16527546,-0.3218034505844116,-0.2529030442237854,-0.108122531647063,1.5571357011795044,681293,2020s,0.0114327143992621,starter,AL,,0.010295407667534933,13,10,8,14,11,13,10,10,4,4,11,10,11,5,11,8,9.5625,10,91,73.9375,arrigsp01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0023627272436447,12120.194913105006,14835.012712808058,13286.274225091558,12781.115601287811,16169.386054833241,15971.299001291576,14077.436563280013,15019.00676096254,13451.05975152758,14333.916472097897,13921.292397865287,13425.766086461257,11833.750678658656,12972.271300523438,19.380791404082277,17.082634387789454,18872.788204450026,-3900.320544792824
11,2024,Kyle Harrison,SFG,7,7,24,24,0,0,9,124.1,118,4.560321902372627,113.43504053893294,4.337272533487106,110.81305324794246,0.2230493688855217,102.5374720015281,116.51816495152144,105.79390896984032,104.29112233885876,99.32151160963916,96.86362227750452,0.14285714,-0.350195974111557,-1.1509209871292114,0.7837878018785671,0.787507176399231,690986,2020s,0.0063457467880679,starter,NL,,0.004982258392926217,11,12,11,11,10,11,13,14,9,7,13,14,9,9,1,8,10.1875,12,92,76.125,harriky01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0028218853675387,12570.083187423288,10987.728919796613,13217.24276479791,12724.900275389637,12325.79959075622,14077.288530881577,13751.89990806966,9620.641384586866,11572.760272966387,11286.371518332138,11266.539695827516,11830.267690359258,11556.817693023637,12151.810195658447,16.20500546717602,15.83043586166877,9899.03071803116,-4401.9925264830035
12,2024,Mitch Spence,OAK,4,8,21,21,0,0,4,112.0,91,4.3392860098761155,111.17918578724752,4.251409863087601,106.98559964024004,0.0878761467885143,96.72081428232735,103.69215950020016,115.53098258723124,111.9087645593379,82.87375569026247,85.6834800083395,0.11752577,-0.9478617310523988,-0.5721461772918701,-0.4663071708744453,1.1436089277267456,687765,2020s,0.0102107939975602,starter,AL,,0.004932430835379026,10,11,7,13,14,8,12,12,12,12,14,12,10,12,13,14,11.625,13,97,83.6875,spencmi01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0084630511701107,11894.571858962328,9526.219542745086,11528.409865753656,10832.731199620663,9281.860637309397,12452.068808171722,11982.387159706885,7100.9117889026165,8593.358693415317,8884.70507555695,9213.836680774653,12441.925326163968,11972.626281379207,11604.061464157212,13.06641941761932,12.573564976630934,13602.738569396632,-11274.409472363182
13,2024,Jonathan Cannon,CHW,4,9,19,19,0,0,6,104.1,73,4.658147191941487,114.2534296060043,4.982554332391986,117.18574886513032,-0.3244071404504991,77.58922463175425,126.15327020081094,113.0208075131638,108.65450176500184,73.11418407264671,94.23239888420832,0.08843537,0.0091662891209125,-0.7137339115142822,0.7238059997154536,0.6840118169784546,686563,2020s,0.006570718702963,starter,AL,,0.004932430835379026,12,14,12,12,13,10,14,13,13,14,9,13,14,14,2,13,12.0,14,98,86.6875,cannojo02,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,8.805272930751682e-05,13388.873708789066,10766.374752521813,14413.443776455593,8077.0382841656165,7611.186561962522,11893.782021985047,12199.036456860065,6889.724957627075,9223.593418828428,11887.725278110127,8353.546283144582,12414.149468783107,12732.759156899365,13707.120719694765,10.104044320975945,10.36336505961488,9158.14783284387,122.72628741814461
